stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
15,O,Ordovician,Lower Ordovician,Floian,Flo,477.08,474.17,471.26,5.82,#009881,#00a180,#0eb1a0,264,270,146,35,2,80,121,208,86,342,602,587.031751420623,757,428,0.273447820343461,0.434610303830911,0.224312458519192,0.475107541163911,0.59234248143798,0.614815337290038,0.2123564586308,0.555391916819238,0.135923166067993,0.510825623765991,0.127090301003344,0.291803278688525,0.135923166067993,0.345033368923247,0.806629834254144,0.546783625730994,Non-Carnivore,FALSE,FALSE,FALSE
16,O,Ordovician,Middle Ordovician,Dapingian,Dap,471.26,470.34,469.42,1.84,#009881,#34b597,#67c0ae,270,422,212,98,75,16,94,203,59,491,605,695.857943505185,847,550,0.180637544273908,0.350649350649351,0.113474150431996,0.346027832712284,0.241835684326362,0.688419039363999,0.17170386055228,0.47352862980651,0.121185556802223,0.300585477287689,0,0.225,0,0.25489224962879,0.683870967741935,0.507128309572301,Non-Carnivore,FALSE,FALSE,FALSE
17,O,Ordovician,Middle Ordovician,Darriwilian,Dar,469.42,463.8,458.18,11.24,#009881,#34b597,#79c5b8,422,750,234,17,54,37,301,529,230,464,1404,1184.57988450433,1524,694,0.348425196850394,0.544619422572178,0.402587408280549,0.760846111818917,0.58968419867831,1.16475209117265,0.438691544067672,0.784766068365475,0.421538932939225,0.922175024759844,0.343963553530752,0.601043024771838,0.421538932939225,0.918901699414875,0.932270916334661,0.741379310344828,Non-Carnivore,FALSE,FALSE,FALSE
18,O,Ordovician,Upper Ordovician,Sandbian,Sbd,458.18,455.465,452.75,5.43,#009881,#8ccbae,#9bceaf,750,953,589,96,18,12,179,374,165,828,1352,1236.77685707329,1546,993,0.222509702457956,0.357697283311772,0.181717509659913,0.372728960709893,0.241647022878769,0.481188720002615,0.192146379105739,0.411056896228533,0.193733948845699,0.400235716585632,0.091016548463357,0.273593898951382,0.0954283901005793,0.319646052709651,0.85985401459854,0.765700483091787,Non-Carnivore,FALSE,FALSE,FALSE
19,O,Ordovician,Upper Ordovician,Katian,Kat,452.75,448.98,445.21,7.54,#009881,#8ccbae,#a6d5c3,953,499,335,17,24,57,393,272,536,666,1747,1443.87681611193,1867,1202,0.497589716122121,0.356186395286556,0.590452444554764,0.342460278465835,1.04548437182914,0.398475563926452,0.676998266962059,0.247482909315814,0.863580915454627,0.316517622091668,0.570103092783505,0.261627906976744,0.844209849698627,0.303307390354862,0.951704545454545,0.81981981981982,Non-Carnivore,TRUE,TRUE,TRUE
20,O,Ordovician,Upper Ordovician,Hirnantian,Hir,445.21,444.14,443.07,2.14,#009881,#8ccbae,#b6d9c3,499,244,202,90,9,67,43,70,203,735,634,720.875260865836,1051,938,0.234062797335871,0.107516650808754,0.243879449793388,0.0909717782057268,0.904338398350314,0.188900527891997,0.652247271001236,0.139399884118966,0.495103795163308,0.104030728227825,0.356536502546689,0,0.44088997856916,0,0.691780821917808,0.43265306122449,Non-Carnivore,FALSE,FALSE,FALSE
21,S,Silurian,Llandovery,Rhuddanian,Rhu,443.07,441.78,440.49,2.58,#bfe0cd,#8ccbae,#b3dccc,244,256,143,41,70,72,32,111,86,719,490,495.926421989945,948,805,0.124472573839662,0.15084388185654,0.112980919697517,0.143564343069597,0.534323595033295,0.582332814219655,0.242742882165856,0.213846709352578,0.107311735789088,0.156397871784163,0.101754385964912,0.144781144781145,0.107311735789088,0.156397871784163,0.777173913043478,0.363004172461752,Non-Carnivore,FALSE,FALSE,FALSE
22,S,Silurian,Llandovery,Aeronian,Aer,440.49,439.54,438.59,1.9,#bfe0cd,#8ccbae,#c1e1d6,256,335,192,65,69,37,53,130,58,772,524,551.699465632018,1013,830,0.109575518262586,0.180651530108588,0.0724411507658675,0.155629970037848,0.287682072451781,0.556635159797285,0.0985961155692842,0.304544032448207,0.0878613557913343,0.204567165741274,0.0654205607476635,0.185,0.0676586484738149,0.204567165741274,0.747081712062257,0.366580310880829,Non-Carnivore,FALSE,FALSE,FALSE
23,S,Silurian,Llandovery,Telychian,Tel,438.59,435.76,432.93,5.66,#bfe0cd,#8ccbae,#cae8e0,335,409,221,46,59,21,120,173,127,775,799,759.285574146739,1195,902,0.206694560669456,0.245188284518828,0.151751490709277,0.201491472901675,0.415967830307314,0.615552454525049,0.27055083044881,0.323971741657611,0.279838894990755,0.333400037584243,0.20997375328084,0.263736263736264,0.235689110377825,0.306166887125884,0.827715355805243,0.489032258064516,Non-Carnivore,FALSE,FALSE,FALSE
24,S,Silurian,Wenlock,Sheinwoodian,She,432.93,431.775,430.62,2.31,#bfe0cd,#c1e1d6,#cce7d8,409,358,230,36,33,77,77,132,112,836,753,684.996194082939,1157,948,0.163353500432152,0.180639585133967,0.12572588917032,0.146603474191875,0.575635847119606,0.442453677477505,0.253820768298367,0.253367720595008,0.2603438350003,0.275907335907247,0.229213483146067,0.203045685279188,0.2603438350003,0.22695792338968,0.864661654135338,0.516746411483254,Non-Carnivore,FALSE,FALSE,FALSE
25,S,Silurian,Wenlock,Homerian,Hom,430.62,428.68,426.74,3.88,#bfe0cd,#c1e1d6,#d6ebe2,358,271,216,82,48,67,56,69,95,873,556,603.360237764232,1093,968,0.138151875571821,0.114364135407136,0.103296531436975,0.0760697187367608,0.505254578716535,0.226840413195536,0.24559981851941,0.0814234133370321,0.186877373329815,0.0200292818755726,0.163636363636364,0.0056657223796034,0.178691788743376,0.00568183346743086,0.724832214765101,0.384879725085911,Non-Carnivore,FALSE,FALSE,FALSE
26,S,Silurian,Ludlow,Gorstian,Gor,426.74,425.875,425.01,1.73,#bfe0cd,#cce7e2,#d6ecea,271,295,199,59,79,44,31,76,71,871,527,537.423467191588,1049,942,0.0972354623450906,0.102001906577693,0.0783632977238602,0.0836571163335755,0.308813996155208,0.393670531615328,0.0121517478958433,0.071855452794088,0.0886656370856563,0.0492139827814128,0.0606060606060606,0.0480225988700565,0.0625203569813339,0.0492139827814126,0.771317829457364,0.400688863375431,Non-Carnivore,FALSE,FALSE,FALSE
27,S,Silurian,Ludlow,Ludfordian,Lud,425.01,423.87,422.73,2.28,#bfe0cd,#cce7e2,#e2f1ec,295,279,194,67,51,50,39,60,81,866,526,556.626531756348,1046,947,0.11472275334608,0.0946462715105163,0.0894141846236431,0.0669893260837443,0.419117197276492,0.363353622758038,0.121541051179512,0.103698862560913,0.151851299646537,0.103435587248242,0.11878453038674,0.0317919075144509,0.126453109040926,0.0323082432326578,0.743295019157088,0.399538106235566,Non-Carnivore,FALSE,FALSE,FALSE
28,S,Silurian,Pridoli,Pridoli,Pri,422.73,420.865,419,3.73,#bfe0cd,#ebf5ec,#ebf5ec,279,303,176,61,59,37,55,81,118,808,571,604.799144446146,1062,926,0.162900188323917,0.128060263653484,0.136312176125084,0.0955351769928093,0.460727786783214,0.543248810471217,0.265334148421907,0.246586562211852,0.215817511222137,0.20679441331268,0.191176470588235,0.156593406593407,0.212174519943636,0.170306120049544,0.742616033755274,0.392326732673267,Non-Carnivore,FALSE,FALSE,FALSE
29,D,Devonian,Lower Devonian,Lochkovian,Loc,419,415.7,412.4,6.6,#d49f51,#e9ba6a,#eac378,303,433,190,41,60,58,143,257,118,771,884,845.376217010283,1289,889,0.202482544608223,0.310318076027929,0.142408861950575,0.287682072451781,0.466708733348883,0.823713655842004,0.128352369933835,0.526137509745024,0.174214969260966,0.487884054523584,0.156976744186047,0.377637130801688,0.170760734392879,0.474231965355257,0.822510822510823,0.474708171206226,Non-Carnivore,FALSE,FALSE,FALSE
30,D,Devonian,Lower Devonian,Pragian,Pra,412.4,411.455,410.51,1.89,#d49f51,#e9ba6a,#ebcd87,433,537,303,122,40,43,152,254,135,893,963,1062.45848778814,1434,1028,0.200139470013947,0.283124128312413,0.140783865138611,0.250318536252872,0.357004922493121,0.572265288999496,0.166226655680943,0.376871650638188,0.170499817828788,0.348686128915151,0.0684684684684685,0.197268588770865,0.0709252392380053,0.219735102644208,0.712941176470588,0.472564389697648,Non-Carnivore,FALSE,FALSE,FALSE
31,D,Devonian,Lower Devonian,Emsian,Ems,410.51,402.405,394.3,16.21,#d49f51,#e9ba6a,#edd595,537,589,314,66,73,79,304,300,246,901,1349,1284.11902368152,1751,1147,0.314106225014278,0.344945745288407,0.241399859521033,0.287404564471646,0.536605108600611,0.629033197743333,0.210583905752881,0.290676834328286,0.27286698666664,0.368743110152218,0.238805970149254,0.273282442748092,0.27286698666664,0.319217381403832,0.826315789473684,0.553829078801332,Non-Carnivore,FALSE,FALSE,FALSE
32,D,Devonian,Middle Devonian,Eifelian,Eif,394.3,389.8,385.3,9,#d49f51,#f4ce85,#f5da93,589,572,371,143,71,32,120,179,246,955,1020,1111.54938529428,1500,1201,0.244,0.199333333333333,0.229198481599253,0.171795143806967,0.462224121044152,0.432936928772363,0.347315240517631,0.242158661960185,0.293161538216406,0.200670695462151,0.144808743169399,0.0923076923076923,0.156430142861213,0.0968498259899176,0.721789883268482,0.49738219895288,Non-Carnivore,FALSE,FALSE,FALSE
33,D,Devonian,Middle Devonian,Givetian,Giv,385.3,382.1,378.9,6.4,#d49f51,#f4ce85,#f5e2a0,572,438,271,33,63,43,274,169,368,766,1269,1119.70932879685,1577,1134,0.40710209258085,0.280913126188966,0.392324314547106,0.199364359548096,0.747020170500097,0.480100089496745,0.467181275509342,0.154078886649015,0.555903678083982,0.249496245961847,0.408264462809917,0.218683651804671,0.524695471630141,0.246775155847487,0.891447368421053,0.597911227154047,Non-Carnivore,FALSE,FALSE,FALSE
34,D,Devonian,Upper Devonian,Frasnian,Fra,378.9,375,371.1,7.8,#d49f51,#f5e4b6,#f4edc3,438,276,192,62,22,65,183,86,236,699,783,814.767376985082,1204,935,0.348006644518272,0.223421926910299,0.290895787054877,0.116032975548598,0.824723538348665,0.362905493689368,0.580844088555277,0.247996613162848,0.449416995637347,0.202645029765869,0.362,0.127218934911243,0.449416995637347,0.136070539143199,0.755905511811024,0.397711015736767,Non-Carnivore,FALSE,FALSE,FALSE
35,D,Devonian,Upper Devonian,Famennian,Fam,371.1,365.2,359.3,11.8,#d49f51,#f5e4b6,#f4f0d5,276,249,105,29,70,40,208,147,189,596,744,746.840423484119,1140,785,0.348245614035088,0.31140350877193,0.275443050717059,0.220455377652409,0.966440515559627,0.863492546307184,0.713849762919116,0.583653651316429,0.561256477392883,0.309501119846421,0.429508196721311,0.266187050359712,0.561256477392883,0.309501119846421,0.783582089552239,0.335570469798658,Non-Carnivore,TRUE,TRUE,TRUE
36,C,Carboniferous,Mississippian,Tournaisian,Tou,359.3,353.015,346.73,12.57,#6eafb5,#769e83,#9db989,249,443,174,50,40,15,179,232,89,654,779,788.815815383935,1154,743,0.232235701906412,0.356152512998267,0.12758869326056,0.303609599147882,0.358397597250179,0.934514470830607,0.293509975044304,0.690635021037219,0.223980021459176,0.624560070896374,0.147157190635452,0.44421906693712,0.15918002823226,0.58738106765462,0.776785714285714,0.426605504587156,Non-Carnivore,FALSE,FALSE,FALSE
37,C,Carboniferous,Mississippian,Visean,Vis,346.73,338.535,330.34,16.39,#6eafb5,#769e83,#b7c089,443,371,179,12,34,47,243,255,197,689,1099,922.395998784822,1384,886,0.317919075144509,0.359826589595376,0.251475679591422,0.314884895131842,0.906183964204381,0.72881625676668,0.538834489018728,0.476225504126169,0.648026745279476,0.531934586976226,0.476923076923077,0.412532637075718,0.648026745279476,0.531934586976226,0.93717277486911,0.586357039187228,Non-Carnivore,FALSE,FALSE,FALSE
38,C,Carboniferous,Mississippian,Serpukhovian,Ser,330.34,326.87,323.4,6.94,#6eafb5,#769e83,#cdc888,371,227,205,91,13,107,82,57,86,858,546,620.111627033499,1083,944,0.155124653739612,0.128347183748846,0.0955220666575384,0.064319965787559,0.593192083469027,0.101940038342995,0.198825868428912,0.0370524161371198,0.136628329135056,0.0287101058824314,0.127705627705628,0,0.136628329135056,0,0.692567567567568,0.374125874125874,Non-Carnivore,FALSE,FALSE,FALSE
39,C,Carboniferous,Pennsylvanian,Bashkirian,Bas,323.4,319.275,315.15,8.25,#6eafb5,#a6c9cd,#a6c9cd,227,276,151,73,119,18,68,119,53,862,526,613.756630483973,1102,915,0.109800362976407,0.169691470054446,0.0596687946118282,0.12931718890167,0.407670180666478,0.603121028902226,0.204729336669788,0.235771553716573,0.214844748499515,0.0173414750364872,0.1,0.0171919770773639,0.105360515657826,0.0173414750364872,0.674107142857143,0.331786542923434,Non-Carnivore,FALSE,FALSE,FALSE
40,C,Carboniferous,Pennsylvanian,Moscovian,Mos,315.15,311.085,307.02,8.13,#6eafb5,#a6c9cd,#bed3ce,276,284,160,36,45,68,98,158,57,924,705,679.304649903754,1237,981,0.125303152789006,0.206952303961196,0.0598603879236789,0.157854387764743,0.545227050483323,0.573800422927379,0.0903691870455823,0.179434207887264,0.167054084663166,0.283524062303117,0.134615384615385,0.190625,0.144581228811107,0.211492934094234,0.816326530612245,0.424242424242424,Non-Carnivore,FALSE,FALSE,FALSE
41,C,Carboniferous,Pennsylvanian,Kasimovian,Kas,307.02,305.35,303.68,3.34,#6eafb5,#a6c9cd,#cad8d9,284,207,158,91,30,104,34,53,54,1028,439,544.184493061732,1169,1082,0.0752780153977759,0.0744225834046193,0.0511960133913164,0.0502713716240978,0.586379205134239,0.270123760238402,0.277946188577419,0.067182916241712,0.060457969037114,0.0658817046840389,0.0586666666666667,0,0.060457969037114,0,0.634538152610442,0.28988326848249,Non-Carnivore,FALSE,FALSE,FALSE
42,C,Carboniferous,Pennsylvanian,Gzhelian,Gzh,303.68,301.285,298.89,4.79,#6eafb5,#a6c9cd,#d6dcda,207,310,155,56,114,29,23,113,33,1048,478,511.820922723462,1217,1081,0.0460147904683648,0.111750205423172,0.0310029527582208,0.102398116816904,0.289293676346122,0.693147180559945,0.132183538898664,0.238289317122204,0.0915151088357733,0.118808151071629,0.0760456273764259,0.112021857923497,0.0790925888372162,0.118808151071629,0.734597156398104,0.294847328244275,Non-Carnivore,FALSE,FALSE,FALSE
43,P,Permian,Cisuralian,Asselian,Ass,298.89,296.205,293.52,5.37,#e35b41,#e5755f,#e07f6c,310,449,241,41,53,64,45,187,29,1132,739,680.167514646624,1393,1161,0.0531227566403446,0.166547020818378,0.0252957229347632,0.152887893954186,0.251775363988537,0.622225954251599,0.00205405377597895,0.31379293769478,0.0143474484081416,0.380274859279606,0.0142450142450142,0.291836734693878,0.0143474484081416,0.345080611157813,0.854609929078014,0.42226148409894,Non-Carnivore,FALSE,FALSE,FALSE
44,P,Permian,Cisuralian,Sakmarian,Sak,293.52,292.015,290.51,3.01,#e35b41,#e5755f,#e18a76,449,541,349,99,55,99,57,184,65,1254,852,860.263632377396,1560,1319,0.0782051282051282,0.154487179487179,0.0505354315244486,0.136914817088126,0.251950965539827,0.438347356644054,0.0352478625466271,0.281237219196596,0.00182648452603428,0.240878006253978,0.00182481751824818,0.159375,0.00182648452603428,0.173609616191933,0.779017857142857,0.435406698564593,Non-Carnivore,FALSE,FALSE,FALSE
45,P,Permian,Cisuralian,Artinskian,Art,290.51,286.905,283.3,7.21,#e35b41,#e5755f,#e39684,541,632,405,98,125,65,114,184,126,1312,1051,1026.7271812878,1736,1438,0.138248847926267,0.171658986175115,0.0917005687769576,0.131242189030388,0.289532211739942,0.445002327040318,0.118260491132573,0.19528101682776,0.117783035656383,0.150504367674238,0.0923317683881064,0.13972602739726,0.0968763508370698,0.150504367674238,0.805168986083499,0.477896341463415,Non-Carnivore,FALSE,FALSE,FALSE
46,P,Permian,Cisuralian,Kungurian,Kun,283.3,278.835,274.37,8.93,#e35b41,#e5755f,#e49f90,632,726,455,85,86,87,96,201,143,1353,1178,1099.68179462501,1793,1496,0.13329615170106,0.165644171779141,0.100470530363634,0.138507902756805,0.328591975195907,0.467252595873846,0.152760937246616,0.250549492880646,0.1341292999667,0.258917683015314,0.125523012552301,0.203452527743527,0.1341292999667,0.227468550332811,0.842592592592593,0.545454545454545,Non-Carnivore,FALSE,FALSE,FALSE
47,P,Permian,Guadalupian,Roadian,Roa,274.37,271.79,269.21,5.16,#e35b41,#f18f76,#f49984,726,709,541,104,86,77,72,125,145,1409,1094,1025.93336316201,1751,1554,0.123929183323815,0.112507138777841,0.0979520190289125,0.0849984700285213,0.294130735978315,0.270436247685646,0.147963581004496,0.0991645270782762,0.139400561897817,0.106317649798032,0.091566265060241,0.0799507995079951,0.0960333327826874,0.0833281315733334,0.838759689922481,0.533711852377573,Non-Carnivore,FALSE,FALSE,FALSE
48,P,Permian,Guadalupian,Wordian,Wor,269.21,266.775,264.34,4.87,#e35b41,#f18f76,#f4a692,709,684,521,82,72,140,120,147,173,1361,1206,1097.908831022,1801,1534,0.162687395891172,0.148250971682399,0.119658979275735,0.102564545916435,0.308105484778761,0.272207875869184,-0.000422103865703516,0.0963768379198926,0.0626019230498947,0.126469478868061,0.0606826801517067,0.112271540469974,0.0626019230498947,0.119089371570439,0.864013266998342,0.562821454812638,Non-Carnivore,FALSE,FALSE,FALSE
49,P,Permian,Guadalupian,Capitanian,Cap,264.34,261.945,259.55,4.79,#e35b41,#f18f76,#f6af9b,684,568,451,163,96,66,83,65,243,1265,1000,1070.85633678981,1656,1508,0.196859903381643,0.0893719806763285,0.175712147406281,0.0501068200541789,0.416490578119872,0.230654079218473,0.262339898292614,0.0844869242446545,0.219607896481902,0.0291484897144174,0.116883116883117,0,0.124297716677577,0,0.734527687296417,0.481422924901186,Non-Carnivore,FALSE,FALSE,FALSE
50,P,Permian,Lopingian,Wuchiapingian,Wuc,259.55,256.895,254.24,5.31,#e35b41,#f8baab,#fac4b8,568,634,426,71,95,7,92,82,311,1019,1128,1035.13089509143,1504,1330,0.267952127659574,0.115691489361702,0.266357187993075,0.0773971034999551,0.287682072451781,0.397609608167855,0.18859116980755,0.0890820195233913,0.237328186306166,0.174691167928263,0.117370892018779,0.153191489361702,0.124850202879476,0.166280689419666,0.857142857142857,0.631010794896958,Non-Carnivore,FALSE,FALSE,FALSE
51,P,Permian,Lopingian,Changhsingian,Chg,254.24,253.07,251.9,2.34,#e35b41,#f8baab,#facfc6,634,181,144,15,11,29,86,38,539,562,933,810.318319898941,1225,1101,0.510204081632653,0.101224489795918,0.672472286828989,0.0654278053224553,1.48223565486123,0.228683731689825,1.21881820440908,0.0745330518625668,1.23899075387414,0.142316222180255,0.710323574730354,0.0918367346938776,1.23899075387414,0.0963311089384321,0.905660377358491,0.480427046263345,Non-Carnivore,TRUE,FALSE,FALSE
52,Tr,Triassic,Lower Triassic,Induan,Ind,251.9,250.89,249.88,2.02,#984b99,#a9599e,#b266a6,181,123,73,22,21,61,29,60,81,519,301,308.110587762206,689,600,0.159651669085631,0.129172714078374,0.145025772050258,0.109398594407107,0.908037590117435,0.521724914224026,0.536095174047914,0.422634011579796,0.26334997179225,0.22314355131421,0.231527093596059,0.2,0.26334997179225,0.22314355131421,0.768421052631579,0.252408477842004,Non-Carnivore,FALSE,FALSE,FALSE
53,Tr,Triassic,Lower Triassic,Olenekian,Ole,249.88,248.29,246.7,3.18,#984b99,#a9599e,#bb71ac,123,181,91,41,51,12,57,78,36,543,308,351.416894943363,714,579,0.130252100840336,0.189075630252101,0.0641931576390598,0.134221761999543,0.301324848855568,0.687637524748976,0.213726789537582,0.424220074296826,0.130053128248198,0.193191229030859,0.0853658536585366,0.175675675675676,0.0892311337279426,0.193191229030859,0.689393939393939,0.252302025782689,Non-Carnivore,FALSE,FALSE,FALSE
54,Tr,Triassic,Middle Triassic,Anisian,Ani,246.7,244.08,241.46,5.24,#984b99,#bd86bd,#c793c3,181,382,142,13,35,23,173,280,40,581,771,661.968179384294,1074,621,0.198324022346369,0.421787709497207,0.0665803250815675,0.39334374757582,0.242669973664565,0.989593551005314,-0.0802239804167042,0.617651134935794,0.086074608771243,0.731861692740636,0.0824742268041237,0.516455696202532,0.086074608771243,0.726612336854492,0.916129032258065,0.478485370051635,Non-Carnivore,FALSE,FALSE,FALSE
55,Tr,Triassic,Middle Triassic,Ladinian,Lad,241.46,239.23,237,4.46,#984b99,#bd86bd,#d0a0c8,382,425,286,109,14,47,99,149,67,794,687,746.323610821325,1109,861,0.149684400360685,0.223624887285843,0.0810110431805951,0.171982821386322,0.289428797786723,0.396097358104564,0.125238403511281,0.308499298786578,0.105134245716822,0.266680682917393,0.0529531568228106,0.0730337078651685,0.0544067222071643,0.0758380763915044,0.724050632911392,0.468513853904282,Non-Carnivore,FALSE,FALSE,FALSE
56,Tr,Triassic,Upper Triassic,Carnian,Car,237,232.15,227.3,9.7,#984b99,#c9a6d0,#d1b3d5,425,497,269,48,86,47,161,233,162,781,1013,938.978848156112,1337,943,0.241585639491399,0.294689603590127,0.188491132793772,0.261083034311442,0.457377789322578,0.61387864649479,0.255475187329517,0.29098469241352,0.261941520855192,0.301849232716561,0.20507399577167,0.258715596330275,0.229506245102038,0.299370916702094,0.848580441640379,0.585147247119078,Non-Carnivore,FALSE,FALSE,FALSE
57,Tr,Triassic,Upper Triassic,Norian,Nor,227.3,218.405,209.51,17.79,#984b99,#c9a6d0,#dbc1de,497,443,295,66,36,32,185,150,217,797,957,921.163042201595,1349,1014,0.297998517420311,0.248332097850259,0.240803505360913,0.172444414395863,0.521614669756809,0.406594413705316,0.296945565133762,0.242404019429874,0.359470016270429,0.248511735863332,0.236234458259325,0.182711198428291,0.269494419452082,0.201762756289259,0.817174515235457,0.508155583437892,Non-Carnivore,FALSE,FALSE,FALSE
58,Tr,Triassic,Upper Triassic,Rhaetian,Rha,209.51,205.435,201.36,8.15,#984b99,#c9a6d0,#e5cbe4,443,175,131,33,29,52,52,66,255,692,667,656.806992924788,1065,947,0.288262910798122,0.110798122065728,0.313713137568409,0.0910974300247021,1.21837244684398,0.289588650722362,0.925150194016588,0.0876860487293013,0.790139446547255,0.0748478907964325,0.546218487394958,0.0673076923076923,0.790139446547255,0.0696799206379898,0.798780487804878,0.42485549132948,Non-Carnivore,TRUE,FALSE,TRUE
59,J,Jurassic,Lower Jurassic,Hettangian,Het,201.36,200.41,199.46,1.9,#00b0e2,#02b1ea,#22b5e9,175,218,135,46,34,62,25,98,16,742,361,380.707462659965,881,758,0.0465380249716232,0.139614074914869,0.0213341424749912,0.124052648669979,0.259511195485085,0.47922028435066,0.0363676441708749,0.254551179727613,-0.0948987418227957,0.205311075018653,0,0.185606060606061,0,0.205311075018653,0.74585635359116,0.299191374663073,Non-Carnivore,FALSE,FALSE,FALSE
60,J,Jurassic,Lower Jurassic,Sinemurian,Sin,199.46,196.18,192.9,6.56,#00b0e2,#02b1ea,#5ebeee,218,323,188,47,74,20,35,101,25,815,447,439.498014918191,976,840,0.0614754098360656,0.139344262295082,0.0302137785964966,0.116828251433268,0.14805309995914,0.541210360392707,0.0481871036189542,0.247988107565311,0.0384662808277961,0.180161728740525,0.00377358490566038,0.164864864864865,0.00378072283990615,0.180161728740525,0.8,0.350920245398773,Non-Carnivore,FALSE,FALSE,FALSE
61,J,Jurassic,Lower Jurassic,Pliensbachian,Plb,192.9,188.55,184.2,8.7,#00b0e2,#02b1ea,#86c9f3,323,336,219,23,38,21,93,113,81,835,657,571.052454282964,1122,916,0.155080213903743,0.183600713012478,0.0925846398232747,0.126922777404166,0.388580593406156,0.428039430146703,0.188454411978694,0.204895878832494,0.27428474287996,0.248532785319029,0.210982658959538,0.211699164345404,0.236966979872765,0.237875490845041,0.90495867768595,0.44311377245509,Non-Carnivore,FALSE,FALSE,FALSE
62,J,Jurassic,Lower Jurassic,Toarcian,Toa,184.2,179.45,174.7,9.5,#00b0e2,#02b1ea,#a3d1f3,336,217,167,37,13,90,28,82,83,865,510,490.030660526877,1058,948,0.104914933837429,0.103969754253308,0.0916249953231425,0.0905695862541989,0.699117347546449,0.261903541123704,0.293652239438285,0.162037544783519,0.237998652305134,0.157436913478077,0.211796246648794,0.0826771653543307,0.237998652305134,0.0862958134528361,0.818627450980392,0.366473988439306,Non-Carnivore,FALSE,FALSE,FALSE
63,J,Jurassic,Middle Jurassic,Aalenian,Aal,174.7,172.8,170.9,3.8,#00b0e2,#84cfee,#a2d8f0,217,226,158,79,56,54,17,58,33,914,357,421.210178055823,1022,947,0.0489236790606654,0.073385518590998,0.0354685217319283,0.0615252330062891,0.317302320513493,0.357939966245319,0.147583935872863,0.157813784817858,0.0170361871525678,0.0401391675903443,0.0168918918918919,0.039344262295082,0.0170361871525678,0.0401391675903443,0.666666666666667,0.272428884026258,Non-Carnivore,FALSE,FALSE,FALSE
64,J,Jurassic,Middle Jurassic,Bajocian,Baj,170.9,169.535,168.17,2.73,#00b0e2,#84cfee,#b0dff1,226,351,173,32,84,22,64,165,57,915,618,576.017416146027,1201,972,0.1007493755204,0.19067443796836,0.0604317391849178,0.165792254842744,0.267243404774507,0.707494628968087,0.0896444069347256,0.302029520859922,0.128009567440215,0.281608301068214,0.12015503875969,0.245430809399478,0.128009567440215,0.281608301068214,0.84390243902439,0.362841530054645,Non-Carnivore,FALSE,FALSE,FALSE
65,J,Jurassic,Middle Jurassic,Bathonian,Bat,168.17,166.73,165.29,2.88,#00b0e2,#84cfee,#bce3f2,351,433,283,55,32,67,64,139,39,1041,688,646.335610824488,1283,1080,0.0802805923616524,0.158222915042868,0.0367792515032965,0.125332648844742,0.215339325822628,0.425290830359252,0.0113953050155079,0.255572445718623,0.00246609249519347,0.276812400214877,0.00246305418719212,0.174180327868852,0.00246609249519347,0.191378843906464,0.837278106508876,0.428434197886647,Non-Carnivore,FALSE,FALSE,FALSE
66,J,Jurassic,Middle Jurassic,Callovian,Cal,165.29,163.41,161.53,3.76,#00b0e2,#84cfee,#cae6f2,433,421,305,69,70,55,83,99,104,1076,744,717.602726455135,1362,1180,0.137298091042584,0.133627019089574,0.0922639767379808,0.0880176858565296,0.350425951395078,0.32232105707497,0.159805591786429,0.144722059235188,0.157143200763712,0.0985808286724476,0.145418326693227,0.0897959183673469,0.157143200763712,0.0940864390846083,0.815508021390374,0.425650557620818,Non-Carnivore,FALSE,FALSE,FALSE
67,J,Jurassic,Upper Jurassic,Oxfordian,Oxf,161.53,158.155,154.78,6.75,#00b0e2,#bbe4fa,#cce8fd,421,506,300,63,77,43,75,169,91,1084,856,814.701501443696,1419,1175,0.116983791402396,0.171952078928823,0.0806102445786679,0.144882772896477,0.33885035902618,0.522754194631264,0.158982791193792,0.318810173824144,0.175731747114899,0.257105707214024,0.119834710743802,0.212653778558875,0.127645560447261,0.239087201711346,0.826446280991736,0.480627306273063,Non-Carnivore,FALSE,FALSE,FALSE
68,J,Jurassic,Upper Jurassic,Kimmeridgian,Kim,154.78,152.01,149.24,5.54,#00b0e2,#bbe4fa,#d4eefd,506,458,340,67,43,30,89,102,109,1144,847,797.513942280473,1444,1253,0.137119113573407,0.132271468144044,0.0910097829563251,0.0854075274076552,0.397591051677259,0.297923566503978,0.2017165284786,0.107303206895328,0.27095252161915,0.154150679827258,0.167539267015707,0.0971428571428571,0.183369225826398,0.102190940896547,0.835380835380835,0.478146853146853,Non-Carnivore,FALSE,FALSE,FALSE
