stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
31,D,Devonian,Lower Devonian,Emsian,Ems,410.51,402.405,394.3,16.21,#d49f51,#e9ba6a,#edd595,88,110,47,7,9,6,109,63,47,112,286,258.249522937382,331,159,0.471299093655589,0.51963746223565,0.350405330925137,0.446287102628419,0.627189212768148,0.850332764082358,0.47815363360766,0.557663150119538,0.45953232937844,0.619039208406224,0.368421052631579,0.427350427350427,0.45953232937844,0.55748131540679,0.87037037037037,0.598214285714286,Carnivore,FALSE,FALSE
32,D,Devonian,Middle Devonian,Eifelian,Eif,394.3,389.8,385.3,9,#d49f51,#f4ce85,#f5da93,110,84,56,9,8,5,29,25,51,124,176,160.551952090701,229,175,0.349344978165939,0.235807860262009,0.344504408318477,0.183664740340422,0.675128675057267,0.405465108108164,0.51606398042758,0.266628663253949,0.53062825106217,0.242140052004865,0.352941176470588,0.182795698924731,0.435318071257846,0.201866152866925,0.861538461538462,0.57258064516129,Carnivore,FALSE,FALSE
33,D,Devonian,Middle Devonian,Givetian,Giv,385.3,382.1,378.9,6.4,#d49f51,#f4ce85,#f5e2a0,84,52,29,5,2,7,52,31,62,87,188,173.227309967357,232,149,0.491379310344828,0.357758620689655,0.538038187290875,0.304776505811081,1.06352096885684,0.583947888594953,0.644810633998655,0.434912309434466,0.775064303027832,0.45953232937844,0.539325842696629,0.368421052631579,0.775064303027832,0.45953232937844,0.852941176470588,0.494252873563218,Carnivore,FALSE,FALSE
34,D,Devonian,Upper Devonian,Frasnian,Fra,378.9,375,371.1,7.8,#d49f51,#f5e4b6,#f4edc3,52,46,25,13,5,4,51,18,30,88,132,157.68671725339,187,118,0.433155080213904,0.368983957219251,0.293347809987458,0.186102279633861,0.732367893713227,0.609765571620894,0.406945493278599,0.450700876991207,0.436717651612269,0.316337328212157,0.261538461538462,0.169491525423729,0.303186258987746,0.185717145795093,0.657894736842105,0.375,Carnivore,FALSE,FALSE
35,D,Devonian,Upper Devonian,Famennian,Fam,371.1,365.2,359.3,11.8,#d49f51,#f5e4b6,#f4f0d5,46,38,13,5,7,1,140,24,43,63,232,252.461251399428,270,106,0.677777777777778,0.607407407407407,0.520304367720534,0.322773392263051,1.26369203902756,1.07263680226485,0.927219802406345,0.653926467406664,0.987386653557885,0.542324290825362,0.549019607843137,0.395348837209302,0.796331416795176,0.50310357767208,0.722222222222222,0.396825396825397,Carnivore,TRUE,TRUE
36,C,Carboniferous,Mississippian,Tournaisian,Tou,359.3,353.015,346.73,12.57,#6eafb5,#769e83,#9db989,38,48,15,6,1,2,62,35,19,68,145,159.541485259361,184,87,0.440217391304348,0.527173913043478,0.246400413478477,0.415221283053529,0.929535958624176,1.16315080980568,0.846154349685125,0.837728409371053,0.648695417989111,0.897941593205959,0.454545454545455,0.5,0.606135803570316,0.693147180559945,0.714285714285714,0.426470588235294,Carnivore,FALSE,FALSE
37,C,Carboniferous,Mississippian,Visean,Vis,346.73,338.535,330.34,16.39,#6eafb5,#769e83,#b7c089,48,90,23,2,5,5,52,80,19,84,189,161.455026311947,235,103,0.302127659574468,0.561702127659575,0.203912189386322,0.669049628980885,0.735706794978741,1.36431545440112,0.361013345537331,1.0278432177799,0.510825623765991,1.12059119538689,0.4,0.673913043478261,0.510825623765991,1.12059119538688,0.92,0.452380952380952,Carnivore,FALSE,FALSE
38,C,Carboniferous,Mississippian,Serpukhovian,Ser,330.34,326.87,323.4,6.94,#6eafb5,#769e83,#cdc888,90,43,33,15,2,12,74,18,45,119,189,216.056180664714,256,164,0.46484375,0.359375,0.320742934712669,0.140857432716595,1.00330210886378,0.264692554227082,0.610259520754178,0.181310945288031,0.559615787935423,0.148420005118273,0.371428571428571,0,0.464305608131098,0,0.6875,0.436974789915966,Carnivore,FALSE,FALSE
39,C,Carboniferous,Pennsylvanian,Bashkirian,Bas,323.4,319.275,315.15,8.25,#6eafb5,#a6c9cd,#a6c9cd,43,66,27,13,9,7,56,30,15,122,153,178.141559895509,223,137,0.318385650224215,0.385650224215247,0.115959881094868,0.21985947611302,0.465363249689233,0.893817876022097,0.357149665049001,0.519124426580686,0.175204089025091,0.477627554356395,0.160714285714286,0.367088607594937,0.175204089025091,0.457424847038875,0.675,0.426229508196721,Carnivore,FALSE,FALSE
40,C,Carboniferous,Pennsylvanian,Moscovian,Mos,315.15,311.085,307.02,8.13,#6eafb5,#a6c9cd,#bed3ce,66,72,35,4,15,4,30,39,25,127,162,141.869543120146,221,152,0.248868778280543,0.312217194570136,0.179693434387685,0.267800701897952,0.634306680537012,0.721318057526642,0.382992252256106,0.328275469417034,0.487295126355797,0.341749293722057,0.357142857142857,0.289473684210526,0.441832752279039,0.341749293722057,0.897435897435897,0.535433070866142,Carnivore,FALSE,FALSE
41,C,Carboniferous,Pennsylvanian,Kasimovian,Kas,307.02,305.35,303.68,3.34,#6eafb5,#a6c9cd,#cad8d9,72,47,28,8,2,17,18,20,26,140,123,124.287420254829,204,166,0.215686274509804,0.186274509803922,0.170345365747239,0.133531392624523,0.944461608840852,0.517943091534855,0.602712315118795,0.409729506894622,0.41173472112176,0.369747025506085,0.3375,0.236363636363636,0.41173472112176,0.269663566949103,0.777777777777778,0.421428571428571,Carnivore,FALSE,FALSE
42,C,Carboniferous,Pennsylvanian,Gzhelian,Gzh,303.68,301.285,298.89,4.79,#6eafb5,#a6c9cd,#d6dcda,47,42,27,11,9,10,11,16,16,144,85,94.0191566115189,187,160,0.144385026737968,0.144385026737968,0.105360515657826,0.105360515657826,0.55431073570573,0.441832752279039,0.346671370927485,0.190518323998133,0.189241999638528,0.120144311842063,0.172413793103448,0.113207547169811,0.189241999638528,0.120144311842063,0.710526315789474,0.291666666666667,Carnivore,FALSE,FALSE
43,P,Permian,Cisuralian,Asselian,Ass,298.89,296.205,293.52,5.37,#e35b41,#e5755f,#e07f6c,42,46,26,6,13,8,9,18,13,147,89,86.0883194427168,187,160,0.117647058823529,0.144385026737968,0.0847412284550907,0.115512887121844,0.479573080261886,0.570544858467613,0.256429528947677,0.228795564745556,0.182321556793955,0.144581228811107,0.166666666666667,0.134615384615385,0.182321556793955,0.144581228811107,0.8125,0.333333333333333,Carnivore,FALSE,FALSE
44,P,Permian,Cisuralian,Sakmarian,Sak,293.52,292.015,290.51,3.01,#e35b41,#e5755f,#e18a76,46,65,32,8,10,8,8,24,11,154,101,99.2222291329767,197,165,0.0964467005076142,0.16243654822335,0.0689928714869514,0.144830947878456,0.362905493689368,0.708651367095911,0.250427510262678,0.501012002317666,0.117783035656383,0.378436435720245,0.111111111111111,0.315068493150685,0.117783035656383,0.378436435720245,0.8,0.376623376623377,Carnivore,FALSE,FALSE
45,P,Permian,Cisuralian,Artinskian,Art,290.51,286.905,283.3,7.21,#e35b41,#e5755f,#e39684,65,73,42,5,10,7,26,27,24,154,141,124.006735023901,231,178,0.216450216450216,0.229437229437229,0.144830947878456,0.161544428852197,0.436717651612269,0.552789822865023,0.22314355131421,0.329646271550813,0.259511195485085,0.313657558855042,0.228571428571429,0.269230769230769,0.259511195485085,0.313657558855041,0.893617021276596,0.415584415584416,Carnivore,FALSE,FALSE
46,P,Permian,Cisuralian,Kungurian,Kun,283.3,278.835,274.37,8.93,#e35b41,#e5755f,#e49f90,73,72,42,10,6,7,29,28,29,152,151,146.929362216338,238,181,0.243697478991597,0.239495798319328,0.174616510419549,0.169076330043934,0.552789822865023,0.538996500732687,0.290425558397532,0.426518517305997,0.341303163890879,0.346276236717834,0.216867469879518,0.25609756097561,0.244453337900961,0.295845383090942,0.807692307692308,0.427631578947368,Carnivore,FALSE,FALSE
47,P,Permian,Guadalupian,Roadian,Roa,274.37,271.79,269.21,5.16,#e35b41,#f18f76,#f49984,72,66,40,12,4,5,21,21,31,149,139,142.015499440229,222,180,0.234234234234234,0.189189189189189,0.189010544944751,0.131852131104803,0.587786664902119,0.500775287912489,0.410855956743041,0.28720118761443,0.387765531008763,0.331357135954442,0.202380952380952,0.217948717948718,0.226124179452347,0.245834962516281,0.769230769230769,0.442953020134228,Carnivore,FALSE,FALSE
48,P,Permian,Guadalupian,Wordian,Wor,269.21,266.775,264.34,4.87,#e35b41,#f18f76,#f4a692,66,40,31,6,2,26,22,14,32,138,124,116.31595969648,206,170,0.262135922330097,0.174757281553398,0.208544751893057,0.0966268356890716,0.755667537541279,0.25489224962879,0.106972119552168,-0.00747201483870097,0.133531392624523,0.165079750359449,0.125,0.130434782608696,0.133531392624523,0.139761942375159,0.837837837837838,0.405797101449275,Carnivore,FALSE,FALSE
49,P,Permian,Guadalupian,Capitanian,Cap,264.34,261.945,259.55,4.79,#e35b41,#f18f76,#f6af9b,40,33,23,21,17,5,5,8,20,132,63,94.7202821030087,165,152,0.151515151515152,0.0787878787878788,0.141078598259905,0.0588405000229335,0.553385238184787,0.36101334553733,0.419853845560264,0.184082637378252,0.219053566062685,-0.121889817609037,0.0983606557377049,-0.037037037037037,0.10354067894084,-0.0363676441708748,0.522727272727273,0.227272727272727,Carnivore,FALSE,FALSE
50,P,Permian,Lopingian,Wuchiapingian,Wuc,259.55,256.895,254.24,5.31,#e35b41,#f8baab,#fac4b8,33,73,21,3,15,0,55,43,39,101,192,172.453005882039,238,140,0.394957983193277,0.411764705882353,0.326521905768045,0.354692782734741,0.451985123743057,1.24593700342497,-0.027587956518829,0.597241585435857,0.405465108108164,0.667171694156685,0.25,0.486842105263158,0.287682072451781,0.667171694156685,0.875,0.544554455445545,Carnivore,FALSE,FALSE
51,P,Permian,Lopingian,Changhsingian,Chg,254.24,253.07,251.9,2.34,#e35b41,#f8baab,#facfc6,73,23,13,8,0,17,52,11,61,83,149,189.164572708048,207,144,0.545893719806763,0.304347826086957,0.550972691779403,0.124454174473406,1.72551008368685,0.570544858467613,1.36260458999749,0.43701346584309,0.756862994946053,0.389464766761723,0.530864197530864,0.0645161290322581,0.756862994946053,0.0666913744986721,0.619047619047619,0.301204819277108,Carnivore,TRUE,FALSE
52,Tr,Triassic,Lower Triassic,Induan,Ind,251.9,250.89,249.88,2.02,#984b99,#a9599e,#b266a6,23,81,16,7,17,5,41,59,8,86,134,151.387579300908,194,94,0.252577319587629,0.515463917525773,0.0889474860164962,0.522386446167067,0.362905493689368,1.62186043243266,0.322083499169113,1.14228735217077,0.0689928714869514,0.78845736036427,0.0666666666666667,0.545454545454545,0.0689928714869514,0.78845736036427,0.695652173913043,0.302325581395349,Carnivore,FALSE,FALSE
53,Tr,Triassic,Lower Triassic,Olenekian,Ole,249.88,248.29,246.7,3.18,#984b99,#a9599e,#bb71ac,81,99,24,1,9,2,208,67,61,84,384,314.367458639134,420,145,0.64047619047619,0.654761904761905,0.545916943577261,0.586463037971611,1.21639532432449,1.41706601978664,1.09625101248243,1.05416052609728,1.11088238125992,1.07880966137193,0.670731707317073,0.66,1.11088238125992,1.07880966137193,0.96,0.571428571428571,Carnivore,FALSE,FALSE
54,Tr,Triassic,Middle Triassic,Anisian,Ani,246.7,244.08,241.46,5.24,#984b99,#bd86bd,#c793c3,99,134,47,6,2,19,135,104,43,108,353,312.845786365934,390,151,0.456410256410256,0.612820512820513,0.335148609690705,0.674455047547793,0.744972248424531,1.04769219824085,0.394111274351219,1.0068702037206,0.377294231141468,0.934309237376833,0.314285714285714,0.578571428571429,0.377294231141468,0.864104978703585,0.886792452830189,0.657407407407407,Carnivore,FALSE,FALSE
55,Tr,Triassic,Middle Triassic,Ladinian,Lad,241.46,239.23,237,4.46,#984b99,#bd86bd,#d0a0c8,134,125,69,29,11,9,47,59,65,147,251,280.174302449472,318,212,0.352201257861635,0.333333333333333,0.366153687893276,0.337443582010845,0.663733295353652,0.594207232705042,0.549789036004434,0.474062920862979,0.420921366344856,0.345604720184485,0.251533742331288,0.227272727272727,0.289729156073506,0.2578291093021,0.704081632653061,0.54421768707483,Carnivore,FALSE,FALSE
56,Tr,Triassic,Upper Triassic,Carnian,Car,237,232.15,227.3,9.7,#984b99,#c9a6d0,#d1b3d5,125,115,58,7,14,8,97,58,84,122,319,280.965916158726,361,206,0.501385041551247,0.429362880886427,0.523855124056325,0.388935806156954,0.767870726755882,0.684489117816831,0.474109608227719,0.333628143743518,0.59234248143798,0.434573192266235,0.409090909090909,0.352459016393443,0.526093095896779,0.434573192266235,0.892307692307692,0.655737704918033,Carnivore,FALSE,FALSE
57,Tr,Triassic,Upper Triassic,Norian,Nor,227.3,218.405,209.51,17.79,#984b99,#c9a6d0,#dbc1de,115,54,41,14,2,3,121,16,79,101,266,280.438775603081,317,180,0.630914826498423,0.43217665615142,0.577836334048951,0.147053417956497,1.03136006165894,0.275411979859967,0.721205133355103,0.161467720510749,0.799369393815253,0.176456437341556,0.472868217054264,0.0735294117647059,0.640304699185565,0.076372978784574,0.745454545454545,0.495049504950495,Carnivore,FALSE,FALSE
58,Tr,Triassic,Upper Triassic,Rhaetian,Rha,209.51,205.435,201.36,8.15,#984b99,#c9a6d0,#e5cbe4,54,16,11,4,4,5,18,12,47,70,104,111.457553517511,147,117,0.442176870748299,0.204081632653061,0.513678692748397,0.158224005214894,1.5910887737659,0.374693449441411,1.18562366565774,0.0809323309132476,1.06471073699243,0.0512932943875505,0.637931034482759,0,1.015920572823,0,0.733333333333333,0.385714285714286,Carnivore,TRUE,FALSE
59,J,Jurassic,Lower Jurassic,Hettangian,Het,201.36,200.41,199.46,1.9,#00b0e2,#02b1ea,#22b5e9,16,28,12,6,3,4,14,24,3,79,61,71.911556163702,120,82,0.141666666666667,0.316666666666667,0.0372713947972317,0.265281135762614,0.287682072451781,0.847297860387204,-0.117783035656384,0.537142932083364,0,0.481838086892738,0,0.352941176470588,0,0.435318071257846,0.666666666666667,0.253164556962025,Carnivore,FALSE,FALSE
60,J,Jurassic,Lower Jurassic,Sinemurian,Sin,199.46,196.18,192.9,6.56,#00b0e2,#02b1ea,#5ebeee,28,34,14,7,5,7,11,23,12,91,73,86.058091802463,137,103,0.167883211678832,0.248175182481752,0.123869481712786,0.225338941877645,0.693147180559945,0.887303195000903,0.424883193965266,0.481838086892738,0.22314355131421,0.455475528682826,0.2,0.292682926829268,0.22314355131421,0.346276236717834,0.666666666666667,0.296703296703297,Carnivore,FALSE,FALSE
61,J,Jurassic,Lower Jurassic,Pliensbachian,Plb,192.9,188.55,184.2,8.7,#00b0e2,#02b1ea,#86c9f3,34,40,26,8,9,2,19,16,8,106,85,87.3578803333748,149,114,0.181208053691275,0.23489932885906,0.0727593542824283,0.140581950621189,0.268263986594679,0.430782916092454,0.0231415285616944,0.0253178079842899,0.154150679827258,0.110000895214328,0.0714285714285714,0.0833333333333333,0.0741079721537218,0.0870113769896299,0.764705882352941,0.39622641509434,Carnivore,FALSE,FALSE
62,J,Jurassic,Lower Jurassic,Toarcian,Toa,184.2,179.45,174.7,9.5,#00b0e2,#02b1ea,#a3d1f3,40,41,18,5,5,11,25,28,19,103,112,112.473690757557,175,122,0.251428571428571,0.302857142857143,0.169292056503621,0.240468334971516,0.798507696217772,0.823200308808143,0.312999880436071,0.554936322213464,0.280301965154158,0.496436886313891,0.244444444444444,0.326086956521739,0.280301965154158,0.394654192003949,0.782608695652174,0.388349514563107,Carnivore,FALSE,FALSE
63,J,Jurassic,Middle Jurassic,Aalenian,Aal,174.7,172.8,170.9,3.8,#00b0e2,#84cfee,#a2d8f0,41,32,24,15,7,8,8,11,7,124,68,86.8440104490608,150,131,0.1,0.126666666666667,0.0549157575961147,0.0849932128333926,0.535518236356362,0.287682072451781,0.167793456231045,0.0425596144187959,0.175204089025091,0.0215062052209637,0.160714285714286,0,0.175204089025091,0,0.615384615384615,0.338709677419355,Carnivore,FALSE,FALSE
64,J,Jurassic,Middle Jurassic,Bajocian,Baj,170.9,169.535,168.17,2.73,#00b0e2,#84cfee,#b0dff1,32,43,18,8,15,9,12,16,7,128,81,91.9524816519468,163,135,0.116564417177914,0.171779141104294,0.0532445145188122,0.117783035656384,0.575364144903562,0.870828357797398,0.2957792826844,0.385320542015697,0.133531392624523,0.218253566020018,0.125,0.196078431372549,0.133531392624523,0.218253566020018,0.692307692307692,0.359375,Carnivore,FALSE,FALSE
65,J,Jurassic,Middle Jurassic,Bathonian,Bat,168.17,166.73,165.29,2.88,#00b0e2,#84cfee,#bce3f2,43,50,31,10,10,5,10,20,9,135,92,95.6285527408721,174,144,0.109195402298851,0.172413793103448,0.0645385211375712,0.138150338480817,0.327212911208416,0.478035800943,0.0677017157233317,0.110311020817682,0.141650517063027,0.162518929497775,0.0566037735849057,0.133333333333333,0.0582689081239758,0.143100843640673,0.75609756097561,0.392592592592593,Carnivore,FALSE,FALSE
66,J,Jurassic,Middle Jurassic,Callovian,Cal,165.29,163.41,161.53,3.76,#00b0e2,#84cfee,#cae6f2,50,49,27,8,6,7,24,25,12,143,124,126.329145416097,204,155,0.176470588235294,0.240196078431373,0.0805804866593393,0.161119349143352,0.616186139423817,0.595983432106298,0.393042588109607,0.316398569887136,0.322773392263051,0.329479201130242,0.275862068965517,0.228070175438596,0.322773392263051,0.258861633916289,0.771428571428571,0.440559440559441,Carnivore,FALSE,FALSE
67,J,Jurassic,Upper Jurassic,Oxfordian,Oxf,161.53,158.155,154.78,6.75,#00b0e2,#bbe4fa,#cce8fd,49,54,36,9,9,11,7,16,9,159,88,86.4510511257619,191,168,0.0837696335078534,0.120418848167539,0.0550597771830274,0.0958817717032825,0.308301359654517,0.405465108108164,0.085157808340307,0.14595391262308,0.0350913198112702,0.154150679827258,0.0344827586206897,0.111111111111111,0.03509131981127,0.117783035656383,0.8,0.352201257861635,Carnivore,FALSE,FALSE
68,J,Jurassic,Upper Jurassic,Kimmeridgian,Kim,154.78,152.01,149.24,5.54,#00b0e2,#bbe4fa,#d4eefd,54,64,36,9,14,1,13,26,12,163,116,113.958203756686,214,175,0.116822429906542,0.182242990654206,0.0710357731167518,0.14799681425288,0.405465108108164,0.575364144903562,0.271933715483642,0.352220593589352,0.314493329902438,0.212921997242672,0.142857142857143,0.191780821917808,0.154150679827258,0.212921997242672,0.8,0.398773006134969,Carnivore,FALSE,FALSE
69,J,Jurassic,Upper Jurassic,Tithonian,Tit,149.24,146.17,143.1,6.14,#00b0e2,#bbe4fa,#e0f2fc,64,33,21,3,1,18,50,22,37,152,163,146.40541645194,261,189,0.333333333333333,0.275862068965517,0.217866494213366,0.135174778368253,1.11436064563625,0.451985123743057,0.657602243140534,0.228841572428848,0.467023001107598,0.364643113587909,0.373134328358209,0.25,0.467023001107598,0.287682072451781,0.875,0.355263157894737,Carnivore,FALSE,FALSE
70,K,Cretaceous,Lower Cretaceous,Berriasian,Ber,143.1,140.4,137.7,5.4,#95c562,#9fca70,#9ec979,33,24,19,11,14,9,5,4,8,166,53,65.7689814784505,183,174,0.0710382513661202,0.0491803278688525,0.0470675108579859,0.0238106486937186,0.55206858230004,0.233614851181505,0.344429217521795,0.100083458556982,0.120627987788615,-0.228841572428848,0.0681818181818182,-0.0571428571428571,0.0706175672139532,-0.0555698511548108,0.633333333333333,0.216867469879518,Carnivore,FALSE,FALSE
71,K,Cretaceous,Lower Cretaceous,Valanginian,Val,137.7,135.15,132.6,5.1,#95c562,#9fca70,#a8d182,24,30,13,3,9,12,11,17,14,156,87,84.1537504664759,198,170,0.126262626262626,0.141414141414141,0.0859424298007248,0.103435587248242,0.613104472886409,0.836248024200619,0.191891007810105,0.379489621704904,-0.0363676441708748,0.27763173659828,0,0.242424242424242,0,0.27763173659828,0.8125,0.288461538461538,Carnivore,FALSE,FALSE
72,K,Cretaceous,Lower Cretaceous,Hauterivian,Hau,132.6,129.55,126.5,6.1,#95c562,#9fca70,#b7d690,30,34,21,11,9,14,3,29,10,163,79,94.6096351713966,205,173,0.0634146341463415,0.15609756097561,0.0595413936910166,0.163745171221019,0.356674943938732,0.481838086892738,-0.162118849476435,0.274198722114494,-0.115069329784787,0.093090423066012,0,0.0888888888888889,0,0.093090423066012,0.65625,0.226993865030675,Carnivore,FALSE,FALSE
73,K,Cretaceous,Lower Cretaceous,Barremian,Bar,126.5,123.95,121.4,5.1,#95c562,#9fca70,#c2da9c,34,59,25,17,18,9,15,34,13,179,113,149.198795870133,241,192,0.116182572614108,0.203319502074689,0.0701095661870266,0.17390635986867,0.307484699747961,0.858661619037519,0.000754432325485221,0.437448153961215,0,0.23638877806423,0,0.171052631578947,0,0.187598613894798,0.595238095238095,0.284916201117318,Carnivore,FALSE,FALSE
74,K,Cretaceous,Lower Cretaceous,Aptian,Apt,121.4,117.3,113.2,8.2,#95c562,#9fca70,#cfe1a7,59,103,39,14,21,5,27,54,19,194,183,195.451921880831,294,213,0.156462585034014,0.275510204081633,0.0934340066460969,0.245570587101654,0.413975797776073,0.971167342099989,0.22345747377794,0.452373548684822,0.230016430601972,0.458108841593586,0.150684931506849,0.324786324786325,0.163325056103299,0.392726082330735,0.735849056603774,0.427835051546392,Carnivore,FALSE,FALSE
75,K,Cretaceous,Lower Cretaceous,Albian,Alb,113.2,106.85,100.5,12.7,#95c562,#9fca70,#d9e8b1,103,137,81,17,10,5,61,70,31,217,275,261.487747232243,379,248,0.242744063324538,0.345646437994723,0.133531392624523,0.279584862219162,0.240279833557197,0.525531771155686,0.140907359743993,0.218801503733211,0.15276275455241,0.354821375289409,0.0666666666666667,0.220779220779221,0.0689928714869514,0.249460859631583,0.826530612244898,0.52073732718894,Carnivore,FALSE,FALSE
76,K,Cretaceous,Upper Cretaceous,Cenomanian,Cen,100.5,97.2,93.9,6.6,#95c562,#b9d25d,#c6d86c,137,135,67,7,8,10,123,115,42,245,414,359.364233689124,525,287,0.314285714285714,0.453333333333333,0.158224005214894,0.384845820905429,0.715288306437159,0.700582159047463,0.423151883635998,0.51006383504933,0.538996500732687,0.549107810337008,0.388888888888889,0.408450704225352,0.492476485097794,0.525010258757947,0.905405405405405,0.546938775510204,Carnivore,FALSE,FALSE
77,K,Cretaceous,Upper Cretaceous,Turonian,Tur,93.9,91.645,89.39,4.51,#95c562,#b9d25d,#d2dd77,135,68,56,19,3,71,24,37,25,335,211,222.09218897162,421,360,0.116389548693587,0.144893111638955,0.0719734996250892,0.10476332244808,0.87992308770328,0.194156014440957,0.267537263787793,0.0947835406277537,0.0533459807052927,0.109199291964992,0.051948051948052,0,0.0533459807052927,0,0.746666666666667,0.373134328358209,Carnivore,FALSE,FALSE
78,K,Cretaceous,Upper Cretaceous,Coniacian,Con,89.39,87.545,85.7,3.69,#95c562,#b9d25d,#dce383,68,77,58,49,44,40,3,18,6,366,110,159.487283973388,393,372,0.0229007633587786,0.0534351145038168,0.0162605208717803,0.0480092191863606,0.159064694629687,0.283362411307265,-0.10215080463393,-0.00877401149389656,-0.22825865198098,-0.180997929863446,-0.00854700854700855,-0.0238095238095238,-0.00851068966790862,-0.023530497410194,0.542056074766355,0.226775956284153,Carnivore,FALSE,FALSE
79,K,Cretaceous,Upper Cretaceous,Santonian,San,85.7,84.675,83.65,2.05,#95c562,#b9d25d,#e5e88f,77,181,67,20,78,3,26,47,20,364,253,258.19187060097,457,384,0.100656455142232,0.159737417943107,0.0534886849509862,0.121439346859494,0.139112802462718,0.99380441187486,0.100197386213044,0.381418587959373,0.0749013081731177,0.197359434158495,0.0206185567010309,0.17910447761194,0.0208340869028421,0.197359434158495,0.770114942528736,0.43956043956044,Carnivore,FALSE,FALSE
80,K,Cretaceous,Upper Cretaceous,Campanian,Cam,83.65,77.91,72.17,11.48,#95c562,#b9d25d,#efec9b,181,307,126,5,15,14,50,126,68,343,479,391.393723455298,587,411,0.201022146507666,0.299829642248722,0.180862767330295,0.312872321280339,0.362215124314348,0.890565840635719,0.238024744082964,0.629350341372101,0.249012931292627,0.759396566101146,0.220430107526882,0.525641025641026,0.249012931292627,0.745790914045367,0.961832061068702,0.685131195335277,Carnivore,FALSE,FALSE
81,K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.17,69.105,66.04,6.13,#95c562,#b9d25d,#f5f1a7,307,173,121,16,12,46,79,73,155,314,493,438.6919942964,621,469,0.376811594202899,0.244766505636071,0.401209782538026,0.209031707121528,0.931057201990456,0.357501048901038,0.632837624235889,0.318585632651364,0.568166170381236,0.237800709114183,0.43343653250774,0.201058201058201,0.568166170381236,0.224467178244718,0.883211678832117,0.592356687898089,Carnivore,TRUE,TRUE
82,Pg,Paleogene,Paleocene,Danian,Dan,66.04,63.85,61.66,4.38,#f8ac70,#f8b77d,#fbc27f,173,272,118,41,26,30,39,189,33,354,439,464.897520772674,615,387,0.117073170731707,0.370731707317073,0.0891277798960074,0.427812406800161,0.382606970032114,0.835117441830333,0.198303252034168,0.710927061598949,0.124228999962209,0.525847365461828,0.116822429906542,0.408945686900958,0.124228999962209,0.525847365461828,0.742138364779874,0.502824858757062,Carnivore,FALSE,FALSE
83,Pg,Paleogene,Paleocene,Selandian-Thanetian,Se-Th,61.66,58.83,56,5.66,#f8ac70,#f8b77d,#fccb87,272,274,168,34,43,50,44,149,60,483,531,501.780987329625,736,543,0.141304347826087,0.262228260869565,0.117092666281363,0.268872740494285,0.481838086892738,0.489164126984811,0.215817511222137,0.190944549230244,0.194156014440957,0.228841572428847,0.176470588235294,0.191558441558442,0.194156014440958,0.212646886508867,0.831683168316832,0.575569358178054,Carnivore,FALSE,FALSE
84,Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,#f8ac70,#fac18a,#f7ba8e,274,376,210,64,39,58,218,205,41,591,772,791.637140369271,1055,632,0.245497630331754,0.400947867298578,0.0670733767407592,0.297783168438285,0.266020575670602,0.582481612672426,0.062311518585045,0.39817789467448,0.0179109265665302,0.340571536372154,0.0177514792899408,0.256818181818182,0.0179109265665302,0.296814556015053,0.766423357664234,0.521150592216582,Carnivore,FALSE,FALSE
85,Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,#f8ac70,#fac18a,#f9c39f,376,374,239,54,71,89,124,175,75,721,774,745.741433107742,1095,796,0.181735159817352,0.273059360730594,0.0989600485594339,0.217301275689981,0.453125591458384,0.447792245483021,0.110557464527833,0.18177166981242,0.118364600081033,0.161969327945056,0.111627906976744,0.149532710280374,0.118364600081033,0.161969327945056,0.815699658703072,0.554785020804438,Carnivore,FALSE,FALSE
86,Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,#f8ac70,#fac18a,#fcceac,374,366,257,105,57,46,51,99,95,801,632,699.632730129335,1046,896,0.139579349904398,0.1434034416826,0.112079465906571,0.116533816255952,0.375179712519312,0.353557248506147,0.194551636231691,0.14984819142059,0.160433423006754,0.11698717409428,0.0292275574112735,0.0764331210191083,0.0296631918235589,0.0795120629277336,0.709944751381215,0.48314606741573,Carnivore,FALSE,FALSE
87,Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,#f8ac70,#fac18a,#fcd7ba,366,279,197,39,48,55,94,105,149,751,743,699.539405297651,1099,900,0.221110100090992,0.181073703366697,0.180989111560176,0.130864724377607,0.619429604663378,0.348008053083377,0.27392796132277,0.00543992615282585,0.330563799935047,0.113077144618971,0.281481481481481,0.106918238993711,0.330563799935047,0.113077144618971,0.834745762711864,0.525965379494008,Carnivore,FALSE,FALSE
